Field	model_id	name	type	growth_properties	parent_id	comments	supplier	external_ids	publications
#Description	Unique identifier for all the PDXs derived from the same tissue sample	Most comman name associate with model. Please use the CCLE name if available	Type of organoid or cell model		Please add the model Id of the model used to generate the model. If the model was not in this set, please refer to it by external id	Add crucial comments about the model that cannot be expressed by other fields	Please provide the suplies brief acronym or name followed by a colon and thel number or name use to reference the model	Depmap accession, Cellusaurus accession or other id. Please place in comma separated list	If model has been part of a published study include pubmed IDs separated by commas. 
#Example	CRC0014LM	LAMA84_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	organoid, CRC, 3-D other, cell model	embedded 3d culture		orthotopic	fresh	all	PMID: 27771609, PMID: 27771610 
#Format Requirements	free alphanumerical and and -_~.	free text	One of the following: organoid, CRC, 3-D other, cell model	One of the following: embedded 3d culture, adherent, mix of adherent and suspension, suspension		heterotopic, orthotopic, not collected, or not provided.	free text , not collected or not provided 	numerical or all 	PMID: 8 digit format
#Essential?	essential	essential	essential	essential	essential if applicable	essential	essential	desirable	desirable
	HCM-CSHL-0245-C18-A	HCM-CSHL-0245-C18-A	3-D: Organoid				ATCC:PDM-255		
	HCM-SANG-0308-C15	HCM-SANG-0308-C15	3-D: Organoid				ATCC:PDM-83		
	HCM-SANG-0268-C18	HCM-SANG-0268-C18	3-D: Organoid				ATCC:PDM-45		
	HCM-BROD-0416-C71	HCM-BROD-0416-C71	3-D: Other (e.g. neurosphere, air-liquid interface, etc.)				ATCC:PDM-300		
	HCM-CSHL-0085-C24-B	HCM-CSHL-0085-C24-B	3-D: Organoid				ATCC:PDM-223		
	HCM-BROD-0334-C43	HCM-BROD-0334-C43	2-D: Adherent				ATCC:PDM-292		
	HCM-BROD-0001-C18	HCM-BROD-0001-C18	3-D: Other (e.g. neurosphere, air-liquid interface, etc.)				ATCC:PDM-104		
	HCM-CSHL-0245-C18-B	HCM-CSHL-0245-C18-B	3-D: Organoid				ATCC:PDM-275		
	HCM-BROD-0228-C43-B	HCM-BROD-0228-C43-B	2-D: Adherent				ATCC:PDM-287		
	HCM-BROD-0561-C43	HCM-BROD-0561-C43	2-D: Adherent				ATCC:PDM-319		
	HCM-BROD-0564-C71	HCM-BROD-0564-C71	3-D: Other (e.g. neurosphere, air-liquid interface, etc.)				ATCC:PDM-320		
	HCM-BROD-0227-C43	HCM-BROD-0227-C43	2-D: Adherent				ATCC:PDM-285		
	HCM-BROD-0344-C25	HCM-BROD-0344-C25	3-D: Organoid				ATCC:PDM-170		
	HCM-BROD-0415-C71	HCM-BROD-0415-C71	3-D: Other (e.g. neurosphere, air-liquid interface, etc.)				ATCC:PDM-299		
	HCM-BROD-0121-C41	HCM-BROD-0121-C41	2-D: Conditionally reprogrammed cells				ATCC:PDM-125		
	HCM-BROD-0569-C43	HCM-BROD-0569-C43	2-D: Adherent				ATCC:PDM-388		
	HCM-BROD-0643-C43	HCM-BROD-0643-C43	2-D: Conditionally reprogrammed cells				ATCC:PDM-387		
	HCM-BROD-0679-C43	HCM-BROD-0679-C43	2-D: Adherent				ATCC:PDM-389		
	HCM-BROD-0228-C43-A	HCM-BROD-0228-C43-A	2-D: Adherent				ATCC:PDM-286		
	HCM-BROD-0613-C71	HCM-BROD-0613-C71	2-D: Adherent				ATCC:PDM-381		
	HCM-BROD-0420-C71	HCM-BROD-0420-C71	3-D: Other (e.g. neurosphere, air-liquid interface, etc.)				ATCC:PDM-301		
	HCM-BROD-0355-C49	HCM-BROD-0355-C49	2-D: Adherent				ATCC:PDM-295		
	HCM-CSHL-0174-C22	HCM-CSHL-0174-C22	3-D: Organoid				ATCC:PDM-219		
	HCM-CSHL-0244-C20	HCM-CSHL-0244-C20	3-D: Organoid				ATCC:PDM-190		
	HCM-SANG-0265-C18	HCM-SANG-0265-C18	3-D: Organoid				ATCC:PDM-42		
	HCM-BROD-0557-C43	HCM-BROD-0557-C43	2-D: Conditionally reprogrammed cells				ATCC:PDM-386		
	HCM-BROD-0335-C43	HCM-BROD-0335-C43	2-D: Adherent				ATCC:PDM-293		
	HCM-CSHL-0433-C24	HCM-CSHL-0433-C24	3-D: Organoid				ATCC:PDM-217		
	HCM-CSHL-0434-C24-A	HCM-CSHL-0434-C24-A	3-D: Organoid				ATCC:PDM-216		
	HCM-BROD-0458-C15	HCM-BROD-0458-C15	3-D: Organoid				ATCC:PDM-246		
	HCM-CSHL-0085-C24	HCM-CSHL-0085-C24	3-D: Organoid				ATCC:PDM-218		
	HCM-CSHL-0434-C24-B	HCM-CSHL-0434-C24-B	3-D: Organoid				ATCC:PDM-220		
	HCM-SANG-0271-D12	HCM-SANG-0271-D12	3-D: Organoid				ATCC:PDM-48		
	HCM-CSHL-0510-D13	HCM-CSHL-0510-D13	3-D: Organoid				ATCC:PDM-368		
	HCM-SANG-0274-C18	HCM-SANG-0274-C18	3-D: Organoid				ATCC:PDM-51		
	HCM-CSHL-0317-C18	HCM-CSHL-0317-C18	3-D: Organoid				ATCC:PDM-359		
	HCM-CSHL-0426-C18	HCM-CSHL-0426-C18	3-D: Organoid				ATCC:PDM-363		
	HCM-CSHL-0141-C18	HCM-CSHL-0141-C18	3-D: Organoid				ATCC:PDM-94		
	HCM-SANG-0281-C18	HCM-SANG-0281-C18	3-D: Organoid				ATCC:PDM-57		
	HCM-CSHL-0257-C18	HCM-CSHL-0257-C18	3-D: Organoid				ATCC:PDM-356		
	HCM-BROD-0221-C43	HCM-BROD-0221-C43	2-D: Adherent				ATCC:PDM-281		
	HCM-BROD-0417-C71	HCM-BROD-0417-C71	3-D: Other (e.g. neurosphere, air-liquid interface, etc.)				ATCC:PDM-379		
	HCM-BROD-0595-C43	HCM-BROD-0595-C43	2-D: Adherent				ATCC:PDM-384		
	HCM-BROD-0421-C71	HCM-BROD-0421-C71	Mixed adherent and suspension				ATCC:PDM-302		
	HCM-BROD-0124-C25	HCM-BROD-0124-C25	3-D: Organoid				ATCC:PDM-137		
	HCM-CSHL-0162-C19	HCM-CSHL-0162-C19	3-D: Organoid				ATCC:PDM-100		
	HCM-BROD-0097-C15	HCM-BROD-0097-C15	3-D: Organoid				ATCC:PDM-131		
	HCM-CSHL-0261-C50	HCM-CSHL-0261-C50	3-D: Organoid				ATCC:PDM-350		
	HCM-BROD-0483-C16-A	HCM-BROD-0483-C16-A	3-D: Organoid				ATCC:PDM-315		
	HCM-SANG-0298-C15	HCM-SANG-0298-C15	3-D: Organoid				ATCC:PDM-74		
	HCM-SANG-0294-C15	HCM-SANG-0294-C15	3-D: Organoid				ATCC:PDM-70		
	HCM-CSHL-0089-C25-B	HCM-CSHL-0089-C25-B	3-D: Organoid				ATCC:PDM-222		
	HCM-CSHL-0078-C25-B	HCM-CSHL-0078-C25-B	3-D: Organoid				ATCC:PDM-221		
	HCM-CSHL-0074-C25	HCM-CSHL-0074-C25	3-D: Organoid				ATCC:PDM-25		
	HCM-SANG-0283-C18	HCM-SANG-0283-C18	3-D: Organoid				ATCC:PDM-59		
	HCM-SANG-0292-C15	HCM-SANG-0292-C15	3-D: Organoid				ATCC:PDM-68		
	HCM-CSHL-0247-C18-B	HCM-CSHL-0247-C18-B	3-D: Organoid				ATCC:PDM-277		
	HCM-CSHL-0376-D37	HCM-CSHL-0376-D37	3-D: Organoid				ATCC:PDM-274		
